Description,Repeat_Customers,Unique_Customers,Repeat_Rate,Repeat_Product_Flag
FIVE CATS HANGING DECORATION,1,8,0.125,1
FIVE HEART HANGING DECORATION,2,15,0.1333,1
FLAMES SUNGLASSES PINK LENSES,0,1,0,0
FLOOR CUSHION ELEPHANT CARNIVAL,1,11,0.0909,1
FLORAL BLUE MONSTER,0,1,0,0
FLORAL FOLK STATIONERY SET,12,144,0.0833,1
FLORAL PINK MONSTER,0,4,0,0
FLORAL SOFT CAR TOY,0,4,0,0
FLOWER FAIRY 5 DRAWER LINERS,2,23,0.087,1
FLOWER FAIRY;5 SUMMER B'DRAW LINERS,1,12,0.0833,1
"FLOWER GLASS GARLAND NECKL.36""BLUE",0,1,0,0
"FLOWER GLASS GARLD NECKL36""AMETHYST",0,2,0,0
FLOWER SHOP DESIGN MUG,0,2,0,0
FLOWER VINE RAFFIA FOOD COVER,3,25,0.12,1
FLOWERS CHANDELIER T-LIGHT HOLDER,4,13,0.3077,1
FLOWERS STICKERS,1,9,0.1111,1
FLOWERS TILE COASTER,2,14,0.1429,1
FLUTED ANTIQUE CANDLE HOLDER,3,83,0.0361,1
FLYING PIG WATERING CAN,0,11,0,0
FOLDING BUTTERFLY MIRROR HOT PINK,9,65,0.1385,1
FOLDING BUTTERFLY MIRROR IVORY,5,46,0.1087,1
FOLDING BUTTERFLY MIRROR RED,5,50,0.1,1
FOLDING SHOE TIDY,0,2,0,0
FOLDING UMBRELLA BLACKBLUE POLKADOT,0,32,0,0
FOLDING UMBRELLA CHOCOLATE POLKADOT,0,10,0,0
FOLDING UMBRELLA CREAM POLKADOT,0,9,0,0
FOLDING UMBRELLA PINKWHITE POLKADOT,0,13,0,0
FOLDING UMBRELLA RED/WHITE POLKADOT,0,20,0,0
FOLDING UMBRELLA WHITE/RED POLKADOT,0,5,0,0
FOLK ART GREETING CARD;pack/12,1,4,0.25,1
FOLK ART METAL HEART T-LIGHT HOLDER,0,5,0,0
FOLK ART METAL STAR T-LIGHT HOLDER,0,18,0,0
FOLK FELT HANGING MULTICOL GARLAND,0,6,0,0
FOLKART CLIP ON STARS,1,41,0.0244,1
FOLKART STAR CHRISTMAS DECORATIONS,6,94,0.0638,1
FOLKART ZINC HEART CHRISTMAS DEC,6,52,0.1154,1
FOOD CONTAINER SET 3 LOVE HEART,3,57,0.0526,1
FOOD COVER WITH BEADS ; SET 2 SIZES,0,1,0,0
FOOD COVER WITH BEADS SET 2,0,23,0,0
FOOD/DRINK SPONGE STICKERS,0,17,0,0
FOOT STOOL HOME SWEET HOME,10,115,0.087,1
FORKED CACTUS CANDLE,0,12,0,0
FOUR HOOK WHITE LOVEBIRDS,6,79,0.0759,1
FRAPPUCINO SCARF KNITTING KIT,3,30,0.1,1
FRENCH BATHROOM SIGN BLUE METAL,2,39,0.0513,1
FRENCH BLUE METAL DOOR SIGN 0,2,18,0.1111,1
FRENCH BLUE METAL DOOR SIGN 1,5,37,0.1351,1
FRENCH BLUE METAL DOOR SIGN 2,2,29,0.069,1
FRENCH BLUE METAL DOOR SIGN 3,5,31,0.1613,1
FRENCH BLUE METAL DOOR SIGN 4,3,30,0.1,1
FRENCH BLUE METAL DOOR SIGN 5,3,33,0.0909,1
FRENCH BLUE METAL DOOR SIGN 6,3,25,0.12,1
FRENCH BLUE METAL DOOR SIGN 7,2,22,0.0909,1
FRENCH BLUE METAL DOOR SIGN 8,3,26,0.1154,1
FRENCH BLUE METAL DOOR SIGN 9,1,15,0.0667,1
FRENCH BLUE METAL DOOR SIGN No,6,27,0.2222,1
FRENCH CARRIAGE LANTERN,2,23,0.087,1
FRENCH ENAMEL CANDLEHOLDER,6,80,0.075,1
FRENCH ENAMEL POT W LID,2,25,0.08,1
FRENCH ENAMEL WATER BASIN,1,26,0.0385,1
FRENCH FLORAL CUSHION COVER,0,24,0,0
FRENCH GARDEN SIGN BLUE METAL,0,24,0,0
FRENCH KITCHEN SIGN BLUE METAL,2,32,0.0625,1
FRENCH LATTICE CUSHION COVER,0,11,0,0
FRENCH LAUNDRY SIGN BLUE METAL,3,25,0.12,1
FRENCH LAVENDER SCENT HEART,0,4,0,0
FRENCH PAISLEY CUSHION COVER,1,31,0.0323,1
FRENCH STYLE EMBOSSED HEART CABINET,0,6,0,0
FRENCH STYLE STORAGE JAR BONBONS,0,17,0,0
FRENCH STYLE STORAGE JAR CAFE,3,43,0.0698,1
FRENCH STYLE STORAGE JAR JAM,0,20,0,0
FRENCH TOILET SIGN BLUE METAL,2,29,0.069,1
FRENCH WC SIGN BLUE METAL,4,50,0.08,1
FRIDGE MAGNETS LA VIE EN ROSE,2,30,0.0667,1
FRIDGE MAGNETS LES ENFANTS ASSORTED,1,23,0.0435,1
FRIDGE MAGNETS US DINER ASSORTED,0,22,0,0
FROSTED WHITE BASE,0,2,0,0
FRUIT SALAD BAG CHARM,0,4,0,0
FRYING PAN BLUE POLKADOT,0,22,0,0
FRYING PAN PINK POLKADOT,1,28,0.0357,1
FRYING PAN RED RETROSPOT,1,50,0.02,1
FRYING PAN UNION FLAG,5,51,0.098,1
FULL ENGLISH BREAKFAST PLATE,13,94,0.1383,1
FUNKY DIVA PEN,2,41,0.0488,1
FUNKY MONKEY CUSHION COVER,0,8,0,0
FUNKY MONKEY GIFT BAG MEDIUM,0,6,0,0
FUNKY WASHING UP GLOVES ASSORTED,5,58,0.0862,1
GAOLERS KEYS DECORATIVE GARDEN,6,61,0.0984,1
GARAGE KEY FOB,6,58,0.1034,1
GARDEN PATH JOURNAL,1,29,0.0345,1
GARDEN PATH POCKET BOOK,0,9,0,0
GARDEN PATH SKETCHBOOK,2,17,0.1176,1
GARDENERS KNEELING PAD CUP OF TEA,53,310,0.171,1
GARDENERS KNEELING PAD KEEP CALM,65,374,0.1738,1
GARDENIA 1 WICK MORRIS BOXED CANDLE,1,14,0.0714,1
GARDENIA 3 WICK MORRIS BOXED CANDLE,0,19,0,0
GARLAND WITH HEARTS AND BELLS,1,33,0.0303,1
GARLAND WITH STARS AND BELLS,3,35,0.0857,1
GARLAND WOODEN HAPPY EASTER,0,4,0,0
GARLAND; VINTAGE BELLS,0,10,0,0
GENTLEMAN SHIRT REPAIR KIT,2,42,0.0476,1
GEORGIAN TRINKET BOX,0,26,0,0
GIANT 50'S CHRISTMAS CRACKER,35,300,0.1167,1
GIFT BAG BIRTHDAY,0,10,0,0
GIFT BAG PSYCHEDELIC APPLES,0,21,0,0
GIN & TONIC DIET GREETING CARD,3,33,0.0909,1
GIN + TONIC DIET METAL SIGN,13,167,0.0778,1
GIN AND TONIC DIET METAL SIGN,3,64,0.0469,1
GIN AND TONIC MUG,5,62,0.0806,1
GINGERBREAD MAN COOKIE CUTTER,27,224,0.1205,1
GINGHAM BABUSHKA DOORSTOP,3,27,0.1111,1
GINGHAM HEART DECORATION,13,173,0.0751,1
GINGHAM HEART DOORSTOP RED,8,98,0.0816,1
GINGHAM RECIPE BOOK BOX,3,80,0.0375,1
GIRAFFE WOODEN RULER,11,117,0.094,1
GIRLS ALPHABET IRON ON PATCHES,1,5,0.2,1
GIRLS VINTAGE TIN SEASIDE BUCKET,1,19,0.0526,1
GLAMOROUS MUG,7,49,0.1429,1
GLASS APOTHECARY BOTTLE ELIXIR,6,67,0.0896,1
GLASS APOTHECARY BOTTLE PERFUME,12,107,0.1121,1
GLASS APOTHECARY BOTTLE TONIC,8,109,0.0734,1
GLASS BEAD HOOP NECKLACE AMETHYST,0,2,0,0
GLASS BEAD HOOP NECKLACE GREEN,0,1,0,0
GLASS BON BON JAR,7,65,0.1077,1
GLASS BONNE JAM JAR,0,6,0,0
GLASS CLOCHE SMALL,2,35,0.0571,1
GLASS HEART T-LIGHT HOLDER,5,36,0.1389,1
GLASS JAR DAISY FRESH COTTON WOOL,3,45,0.0667,1
GLASS JAR DIGESTIVE BISCUITS,4,32,0.125,1
GLASS JAR ENGLISH CONFECTIONERY,6,65,0.0923,1
GLASS JAR KINGS CHOICE,3,20,0.15,1
GLASS JAR MARMALADE,2,16,0.125,1
GLASS JAR PEACOCK BATH SALTS,4,35,0.1143,1
GLASS SONGBIRD STORAGE JAR,2,37,0.0541,1
GLASS SPHERE CANDLE STAND MEDIUM,0,22,0,0
GLASS STAR FROSTED T-LIGHT HOLDER,6,46,0.1304,1
GLASS TWIST BON BON JAR,0,17,0,0
GLITTER BUTTERFLY CLIPS,7,67,0.1045,1
GLITTER CHRISTMAS STAR,19,115,0.1652,1
GLITTER CHRISTMAS TREE,3,37,0.0811,1
GLITTER CHRISTMAS TREE WITH BELLS,8,75,0.1067,1
GLITTER HANGING BUTTERFLY STRING,6,61,0.0984,1
GLITTER HEART DECORATION,19,127,0.1496,1
GLITTER HEART GARLAND WITH BELLS,8,56,0.1429,1
GLITTER STAR GARLAND WITH BELLS,2,43,0.0465,1
GLOW IN DARK DOLPHINS,0,29,0,0
GOLD DIAMANTE STAR BROOCH,0,2,0,0
GOLD EAR MUFF HEADPHONES,1,17,0.0588,1
GOLD FABRIC MIRROR,0,21,0,0
GOLD FISHING GNOME,0,3,0,0
GOLD M.O.P ORBIT DROP EARRINGS,0,2,0,0
GOLD M.O.P. ORBIT NECKLACE,0,2,0,0
GOLD MINI TAPE MEASURE,0,16,0,0
GOLD MUG BONE CHINA TREE OF LIFE,8,58,0.1379,1
GOLD PHOTO FRAME,0,11,0,0
GOLD STANDING GNOME,0,5,0,0
GOLD/M.O.P PENDANT ORBIT NECKLACE,0,2,0,0
GOLDIE LOOKING MIRROR,0,2,0,0
GRAND CHOCOLATECANDLE,6,88,0.0682,1
GRASS HOPPER WOODEN WALL CLOCK,0,11,0,0
GREEN BIRDHOUSE DECORATION,0,19,0,0
GREEN BITTY LIGHT CHAIN,1,19,0.0526,1
GREEN CHRISTMAS TREE CARD HOLDER,12,143,0.0839,1
GREEN CHRISTMAS TREE STRING 20LIGHT,0,4,0,0
GREEN DIAMANTE PEN IN GIFT BOX,0,2,0,0
GREEN DRAWER KNOB ACRYLIC EDWARDIAN,3,30,0.1,1
GREEN FERN JOURNAL,1,17,0.0588,1
GREEN FERN POCKET BOOK,0,9,0,0
GREEN FERN SKETCHBOOK,2,14,0.1429,1
GREEN GEISHA GIRL,0,3,0,0
GREEN GLASS TASSLE BAG CHARM,0,2,0,0
GREEN GOOSE FEATHER CHRISTMAS TREE,0,20,0,0
GREEN GOOSE FEATHER TREE 60CM,3,46,0.0652,1
GREEN HEART COMPACT MIRROR,1,20,0.05,1
GREEN JUICY FRUIT PHOTO FRAME,0,2,0,0
GREEN METAL BOX ARMY SUPPLIES,8,60,0.1333,1
GREEN MURANO TWIST BRACELET,0,2,0,0
GREEN MURANO TWIST NECKLACE,0,1,0,0
GREEN PEONY CUSHION COVER,0,2,0,0
GREEN POLKADOT BOWL,2,51,0.0392,1
GREEN POLKADOT PLATE,0,26,0,0
GREEN REGENCY TEACUP AND SAUCER,17,153,0.1111,1
GREEN ROSE WASHBAG,1,11,0.0909,1
GREEN ROUND COMPACT MIRROR,1,5,0.2,1
GREEN SQUARE COMPACT MIRROR,1,11,0.0909,1
GREEN SWEETHEART BRACELET,0,6,0,0
GREEN VINTAGE EARRINGS,0,4,0,0
GREEN VINTAGE SPOT BEAKER,2,34,0.0588,1
GREEN WIRE STANDING CANDLE HOLDER,0,4,0,0
GREETING CARD; OVERCROWDED POOL.,0,11,0,0
GREETING CARD; STICKY GORDON,1,6,0.1667,1
GREETING CARD;SQUARE; DOUGHNUTS,0,4,0,0
GREY HEART HOT WATER BOTTLE,45,260,0.1731,1
GROOVY CACTUS INFLATABLE,0,13,0,0
GROW A FLYTRAP OR SUNFLOWER IN TIN,6,76,0.0789,1
GROW YOUR OWN BASIL IN ENAMEL MUG,5,70,0.0714,1
GROW YOUR OWN FLOWERS SET OF 3,3,49,0.0612,1
GUMBALL COAT RACK,24,179,0.1341,1
GUMBALL MAGAZINE RACK,5,46,0.1087,1
GYMKHANA TREASURE BOOK BOX,7,73,0.0959,1
HAIRCLIPS FORTIES FABRIC ASSORTED,1,34,0.0294,1
HAND OPEN SHAPE GOLD,1,17,0.0588,1
HAND OVER THE CHOCOLATE SIGN,14,150,0.0933,1
HAND PAINTED HANGING EASTER EGG,0,6,0,0
HAND TOWEL PINK FLOWER AND DAISY,1,5,0.2,1
HAND WARMER BABUSHKA DESIGN,13,122,0.1066,1
HAND WARMER BIRD DESIGN,63,359,0.1755,1
HAND WARMER OWL DESIGN,88,416,0.2115,1
HAND WARMER RED LOVE HEART,54,361,0.1496,1
HAND WARMER RED RETROSPOT,38,263,0.1445,1
HAND WARMER SCOTTY DOG DESIGN,62,349,0.1777,1
HAND WARMER UNION JACK,58,332,0.1747,1
HANGING BAUBLE T-LIGHT HOLDER LARGE,0,9,0,0
HANGING BAUBLE T-LIGHT HOLDER SMALL,1,13,0.0769,1
HANGING BUTTERFLY T-LIGHT HOLDER,6,88,0.0682,1
HANGING CHICK CREAM DECORATION,0,4,0,0
HANGING CHICK GREEN DECORATION,0,10,0,0
HANGING CHICK YELLOW DECORATION,0,9,0,0
HANGING CLEAR MINI BOTTLE,0,10,0,0
HANGING ENGRAVED METAL HEART,1,29,0.0345,1
HANGING FAIRY CAKE DECORATION,0,4,0,0
HANGING HEART BONHEUR,0,55,0,0
HANGING HEART JAR T-LIGHT HOLDER,17,119,0.1429,1
HANGING HEART MIRROR DECORATION,6,47,0.1277,1
HANGING HEART WITH BELL,9,109,0.0826,1
HANGING HEART ZINC T-LIGHT HOLDER,2,86,0.0233,1
HANGING HEN ON NEST DECORATION,0,14,0,0
HANGING JAM JAR T-LIGHT HOLDERS,5,57,0.0877,1
HANGING METAL CHICKEN DECORATION,0,2,0,0
HANGING METAL HEART LANTERN,5,99,0.0505,1
HANGING METAL RABBIT DECORATION,0,6,0,0
HANGING METAL STAR LANTERN,10,90,0.1111,1
HANGING MINI COLOURED BOTTLES,1,24,0.0417,1
HANGING PHOTO CLIP ROPE LADDER,1,13,0.0769,1
HANGING QUILTED PATCHWORK APPLES,2,44,0.0455,1
HANGING SPRING FLOWER EGG LARGE,0,2,0,0
HANGING SPRING FLOWER EGG SMALL,0,18,0,0
HANGING WOOD AND FELT BUTTERFLY,0,11,0,0
HANGING WOOD AND FELT FLOWER,0,17,0,0
HANGING WOOD AND FELT HEART,0,10,0,0
HAPPY BIRTHDAY CARD STRIPEY TEDDY,0,2,0,0
HAPPY EASTER HANGING DECORATION,0,3,0,0
HAPPY STENCIL CRAFT,11,136,0.0809,1
HARDMAN MUG 3 ASSORTED,0,2,0,0
HAWAIIAN GRASS SKIRT,0,10,0,0
HEADS AND TAILS SPORTING FUN,3,26,0.1154,1
HEART BEADED TRELLIS DECORATION,3,25,0.12,1
HEART CALCULATOR,3,52,0.0577,1
HEART DECORATION PAINTED ZINC,4,46,0.087,1
HEART DECORATION RUSTIC HANGING,4,67,0.0597,1
HEART DECORATION WITH PEARLS,6,54,0.1111,1
HEART FILIGREE DOVE LARGE,2,43,0.0465,1
HEART FILIGREE DOVE SMALL,6,52,0.1154,1
HEART GARLAND RUSTIC PADDED,0,8,0,0
HEART IVORY TRELLIS LARGE,3,55,0.0545,1
HEART IVORY TRELLIS SMALL,4,61,0.0656,1
HEART MINI PORTRAIT FRAME,12,118,0.1017,1
HEART OF WICKER LARGE,30,240,0.125,1
HEART OF WICKER SMALL,46,315,0.146,1
HEART SHAPE WIRELESS DOORBELL,1,29,0.0345,1
HEART SHAPED HOLLY WREATH,10,109,0.0917,1
HEART STRING MEMO HOLDER HANGING,5,36,0.1389,1
HEART T-LIGHT HOLDER,0,11,0,0
HEART T-LIGHT HOLDER WILLIE WINKIE,6,67,0.0896,1
HEART TRELLIS TRIPLE T-LIGHT HOLDER,0,25,0,0
HEART WOODEN CHRISTMAS DECORATION,14,137,0.1022,1
HEART WREATH DECORATION WITH BELL,11,111,0.0991,1
HEARTS GIFT TAPE,0,18,0,0
HEARTS STICKERS,2,20,0.1,1
HELLO SAILOR BATHROOM SET,0,6,0,0
HELLO SAILOR BLUE SOAP HOLDER,0,11,0,0
HEN HOUSE DECORATION,1,10,0.1,1
HEN HOUSE WITH CHICK STANDING,0,2,0,0
HEN PARTY CORDON BARRIER TAPE,1,8,0.125,1
HENRIETTA HEN MUG,3,48,0.0625,1
HERB MARKER BASIL,1,38,0.0263,1
HERB MARKER CHIVES,2,35,0.0571,1
HERB MARKER MINT,2,33,0.0606,1
HERB MARKER PARSLEY,2,41,0.0488,1
HERB MARKER ROSEMARY,2,39,0.0513,1
HERB MARKER THYME,1,35,0.0286,1
HI TEC ALPINE HAND WARMER,3,37,0.0811,1
High Resolution Image,0,4,0,0
HILDA CANDY SPOT RABBIT,0,3,0,0
HIPPY CHIC DECORATIVE PARASOL,0,2,0,0
HOLIDAY FUN LUDO,2,80,0.025,1
HOME BUILDING BLOCK WORD,16,148,0.1081,1
HOME GARLAND PAINTED ZINC,0,14,0,0
HOME SWEET HOME 2 DRAWER CABINET,2,48,0.0417,1
HOME SWEET HOME 3 PEG HANGER,2,34,0.0588,1
HOME SWEET HOME BLACKBOARD,15,115,0.1304,1
HOME SWEET HOME BOTTLE,4,55,0.0727,1
HOME SWEET HOME CUSHION COVER,14,132,0.1061,1
HOME SWEET HOME HANGING HEART,7,113,0.0619,1
HOME SWEET HOME HOOK,4,49,0.0816,1
HOME SWEET HOME KEY HOLDER,4,75,0.0533,1
HOME SWEET HOME METAL SIGN,4,61,0.0656,1
HOME SWEET HOME MUG,6,84,0.0714,1
HOMEMADE JAM SCENTED CANDLES,4,85,0.0471,1
HOOK; 1 HANGER ;MAGIC GARDEN,2,22,0.0909,1
HORSE & PONY WALL ART,0,6,0,0
HOT BATHS METAL SIGN,18,145,0.1241,1
HOT BATHS SOAP HOLDER,1,19,0.0526,1
HOT STUFF HOT WATER BOTTLE,5,64,0.0781,1
HOT WATER BOTTLE I AM SO POORLY,53,289,0.1834,1
HOT WATER BOTTLE KEEP CALM,109,537,0.203,1
HOT WATER BOTTLE SEX BOMB,3,96,0.0313,1
HOT WATER BOTTLE TEA AND SYMPATHY,64,363,0.1763,1
HOUSE SHAPE PENCIL SHARPENER,2,21,0.0952,1
HYACINTH BULB T-LIGHT CANDLES,0,17,0,0
I LOVE LONDON BABY GIFT SET,2,21,0.0952,1
I LOVE LONDON BEAKER,6,26,0.2308,1
I LOVE LONDON MINI BACKPACK,4,50,0.08,1
I LOVE LONDON WALL ART,0,1,0,0
ICE CREAM BUBBLES,3,65,0.0462,1
ICE CREAM PEN LIP GLOSS,5,89,0.0562,1
ICE CREAM SUNDAE LIP GLOSS,5,94,0.0532,1
ICON MUG REVOLUTIONARY,4,49,0.0816,1
ICON PLACEMAT POP ART ELVIS,0,8,0,0
IF YOU CAN'T STAND THE HEAT MUG,2,25,0.08,1
ILLUSTRATED CAT BOWL,1,24,0.0417,1
I'M ON HOLIDAY METAL SIGN,4,74,0.0541,1
IVORY CAFE HANGING LAMP,3,29,0.1034,1
IVORY CHANDELIER T-LIGHT HOLDER,3,12,0.25,1
IVORY DINER WALL CLOCK,15,92,0.163,1
IVORY EMBROIDERED QUILT,0,2,0,0
IVORY ENCHANTED FOREST PLACEMAT,1,20,0.05,1
IVORY GOLD METAL BAG CHARM,0,2,0,0
IVORY HANGING DECORATION BIRD,1,11,0.0909,1
IVORY HANGING DECORATION EGG,0,15,0,0
IVORY HANGING DECORATION HEART,4,39,0.1026,1
IVORY KITCHEN SCALES,18,211,0.0853,1
IVORY KNITTED MUG COSY,5,24,0.2083,1
IVORY LOVE BIRD CANDLE,0,13,0,0
IVORY PAPER CUP CAKE CASES,0,11,0,0
IVORY PILLAR CANDLE GOLD FLOCK,0,8,0,0
IVORY PILLAR CANDLE SILVER FLOCK,2,36,0.0556,1
IVORY REFECTORY CLOCK,1,27,0.037,1
IVORY RETRO KITCHEN WALL CLOCK,2,45,0.0444,1
IVORY SCULPTED RND CANDLE,0,1,0,0
IVORY SHELL HEART NECKLACE,0,2,0,0
IVORY STRING CURTAIN WITH POLE,0,14,0,0
IVORY SWEETHEART SOAP DISH,0,20,0,0
IVORY SWEETHEART WIRE LETTER RACK,4,39,0.1026,1
IVORY WICKER HEART LARGE,24,215,0.1116,1
IVORY WICKER HEART MEDIUM,22,190,0.1158,1
IVORY WICKER HEART SMALL,6,83,0.0723,1
IVORY WIRE KITCHEN ORGANISER,0,5,0,0
IVORY WIRE SWEETHEART LETTER TRAY,0,19,0,0
IVY HEART WREATH,0,6,0,0
JADE DROP EARRINGS W FILIGREE,0,3,0,0
JAM CLOCK MAGNET,0,20,0,0
JAM JAR WITH GREEN LID,3,40,0.075,1
JAM JAR WITH PINK LID,4,54,0.0741,1
JAM MAKING SET PRINTED,17,173,0.0983,1
JAM MAKING SET WITH JARS,24,211,0.1137,1
JASMINE VOTIVE CANDLE,0,2,0,0
JAZZ HEARTS ADDRESS BOOK,5,89,0.0562,1
JAZZ HEARTS PURSE NOTEBOOK,16,131,0.1221,1
JET BLACK LAS VEGAS NECKLACE 45CM,0,1,0,0
JIGSAW RABBIT AND BIRDHOUSE,1,31,0.0323,1
JIGSAW TOADSTOOLS 3 PIECE,0,29,0,0
JIGSAW TREE WITH BIRDHOUSE,2,37,0.0541,1
JIGSAW TREE WITH WATERING CAN,1,21,0.0476,1
JINGLE BELL HEART ANTIQUE GOLD,5,90,0.0556,1
JINGLE BELL HEART ANTIQUE SILVER,16,193,0.0829,1
JINGLE BELL HEART DECORATION,29,251,0.1155,1
JINGLE BELLS TREE DECORATION,1,17,0.0588,1
JOY WOODEN BLOCK LETTERS,2,70,0.0286,1
JUMBO BAG 50'S CHRISTMAS,93,458,0.2031,1
JUMBO BAG ALPHABET,39,239,0.1632,1
JUMBO BAG APPLES,28,190,0.1474,1
JUMBO BAG BAROQUE BLACK WHITE,26,179,0.1453,1
JUMBO BAG DOILEY PATTERNS,0,2,0,0
JUMBO BAG DOLLY GIRL DESIGN,8,82,0.0976,1
JUMBO BAG OWLS,10,107,0.0935,1
JUMBO BAG PAISLEY PARK,86,403,0.2134,1
JUMBO BAG PEARS,24,159,0.1509,1
JUMBO BAG PINK POLKADOT,27,202,0.1337,1
JUMBO BAG PINK VINTAGE PAISLEY,12,150,0.08,1
JUMBO BAG RED RETROSPOT,75,418,0.1794,1
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,21,149,0.1409,1
JUMBO BAG SPACEBOY DESIGN,18,153,0.1176,1
JUMBO BAG STRAWBERRY,15,148,0.1014,1
JUMBO BAG TOYS,0,49,0,0
JUMBO BAG VINTAGE CHRISTMAS,58,296,0.1959,1
JUMBO BAG VINTAGE DOILY,62,385,0.161,1
JUMBO BAG VINTAGE LEAF,36,277,0.13,1
JUMBO BAG WOODLAND ANIMALS,14,141,0.0993,1
JUMBO SHOPPER VINTAGE RED PAISLEY,35,224,0.1563,1
JUMBO STORAGE BAG SKULLS,17,151,0.1126,1
JUMBO STORAGE BAG SUKI,32,207,0.1546,1
JUNGLE POPSICLES ICE LOLLY MOULDS,2,24,0.0833,1
KEEP CALM BIRTHDAY WRAP,0,4,0,0
KEEP CALM WALL ART,0,14,0,0
KENSINGTON COFFEE SET,0,13,0,0
KEY CABINET MA CAMPAGNE,1,29,0.0345,1
KEY FOB ; BACK DOOR,17,93,0.1828,1
KEY FOB ; FRONT DOOR,15,67,0.2239,1
KEY FOB ; GARAGE DESIGN,4,37,0.1081,1
KEY FOB ; SHED,26,108,0.2407,1
KEY RING BASEBALL BOOT ASSORTED,11,115,0.0957,1
KEY RING BASEBALL BOOT UNION JACK,8,101,0.0792,1
KIDS RAIN MAC BLUE,1,25,0.04,1
KIDS RAIN MAC PINK,1,25,0.04,1
KINGS CHOICE BISCUIT TIN,2,21,0.0952,1
KINGS CHOICE GIANT TUBE MATCHES,1,1,1,1
KINGS CHOICE MUG,3,45,0.0667,1
KINGS CHOICE TEA CADDY,4,29,0.1379,1
KITCHEN METAL SIGN,5,54,0.0926,1
KITTENS DESIGN FLANNEL,2,27,0.0741,1
KITTY PENCIL ERASERS,3,41,0.0732,1
KNEELING MAT HOUSEWORK DESIGN,6,96,0.0625,1
KNICKERBOCKERGLORY MAGNET ASSORTED,2,29,0.069,1
KNITTED UNION FLAG HOT WATER BOTTLE,22,172,0.1279,1
LA PALMIERA TILE COASTER,2,15,0.1333,1
LADIES & GENTLEMEN METAL SIGN,12,133,0.0902,1
LADS ONLY TISSUE BOX,6,71,0.0845,1
LANDMARK FRAME BAKER STREET,4,46,0.087,1
LANDMARK FRAME CAMDEN TOWN,11,99,0.1111,1
LANDMARK FRAME COVENT GARDEN,7,82,0.0854,1
LANDMARK FRAME LONDON BRIDGE,4,80,0.05,1
LANDMARK FRAME NOTTING HILL,4,82,0.0488,1
LANDMARK FRAME OXFORD STREET,7,84,0.0833,1
LANTERN CREAM GAZEBO,5,77,0.0649,1
LARGE ANTIQUE WHITE PHOTO FRAME,1,43,0.0233,1
LARGE APOTHECARY MEASURING JAR,0,4,0,0
LARGE BLUE PROVENCAL CERAMIC BALL,1,3,0.3333,1
LARGE BONNE JAM JAR T-LIGHT HOLDER,0,4,0,0
LARGE CAKE STAND HANGING STRAWBERY,5,49,0.102,1
LARGE CAKE TOWEL CHOCOLATE SPOTS,4,53,0.0755,1
LARGE CAKE TOWEL PINK SPOTS,0,19,0,0
LARGE CAKE TOWEL; CHOCOLATE SPOTS,0,1,0,0
LARGE CAMPHOR WOOD FIELD MUSHROOM,0,3,0,0
LARGE CERAMIC TOP STORAGE JAR,8,90,0.0889,1
LARGE CHINESE STYLE SCISSOR,2,25,0.08,1
LARGE CIRCULAR MIRROR MOBILE,5,38,0.1316,1
LARGE DECO JEWELLERY STAND,0,4,0,0
LARGE HANGING IVORY & RED WOOD BIRD,3,24,0.125,1
LARGE HEART MEASURING SPOONS,10,85,0.1176,1
LARGE IVORY HEART WALL ORGANISER,6,44,0.1364,1
LARGE MEDINA STAMPED METAL BOWL,1,23,0.0435,1
LARGE MINT DIAMANTE HAIRSLIDE,0,1,0,0
LARGE PARLOUR FRAME,0,3,0,0
LARGE PARLOUR PICTURE FRAME,1,46,0.0217,1
LARGE PURPLE BABUSHKA NOTEBOOK,6,69,0.087,1
LARGE RED BABUSHKA NOTEBOOK,7,71,0.0986,1
LARGE RED RETROSPOT WINDMILL,0,6,0,0
LARGE ROUND WICKER PLATTER,3,56,0.0536,1
LARGE STRIPES CHOCOLATE GIFT BAG,0,5,0,0
LARGE TALL CAMPHOR WOOD TOADSTOOL,0,4,0,0
LARGE WHITE HEART OF WICKER,38,286,0.1329,1
LARGE WHITE HONEYCOMB PAPER BELL,1,27,0.037,1
LARGE YELLOW BABUSHKA NOTEBOOK,4,60,0.0667,1
LARGE ZINC GLASS CANDLEHOLDER,0,2,0,0
LAUNDRY 15C METAL SIGN,5,73,0.0685,1
LAUREL HEART ANTIQUE GOLD,3,30,0.1,1
LAUREL HEART ANTIQUE SILVER,3,57,0.0526,1
LAUREL STAR ANTIQUE GOLD,2,25,0.08,1
LAUREL STAR ANTIQUE SILVER,4,43,0.093,1
LAVENDER INCENSE 40 CONES IN TIN,0,3,0,0
LAVENDER SCENT CAKE CANDLE,0,8,0,0
LAVENDER SCENTED FABRIC HEART,3,30,0.1,1
LAVENDER TOILETTE BOTTLE,4,58,0.069,1
LAZER CUT NECKLACE W PASTEL BEADS,0,2,0,0
LE GRAND TRAY CHIC SET,0,24,0,0
LE JARDIN BOTANIQUE CUSHION COVER,5,113,0.0442,1
LETS GO SHOPPING COTTON TOTE BAG,0,15,0,0
"LETTER ""A"" BLING KEY RING",1,9,0.1111,1
"LETTER ""B"" BLING KEY RING",0,2,0,0
"LETTER ""C"" BLING KEY RING",0,8,0,0
"LETTER ""D"" BLING KEY RING",0,7,0,0
